county,county_fips,state,total_population,health_service_area_number,health_service_area,covid_inpatient_bed_utilization,covid_hospital_admissions_per_10,covid_cases_per_100k,covid19_community_level,date_updated,date2,fipsstr,STATEFP,COUNTYFP,newscheme
"Autauga County, AL",1001,Alabama,55869,171,"Montgomery (Montgomery), AL - Autauga, AL",1.6%,3.9000001,37.59,Low,2022-03-24,24mar2022,1001,1,1,1
"Baldwin County, AL",1003,Alabama,223234,161,"Mobile (Mobile), AL - Baldwin, AL",0.7%,1.7,62.709999,Low,2022-03-24,24mar2022,1003,1,3,2
"Barbour County, AL",1005,Alabama,24686,162,"Houston (Dothan), AL - Dale, AL",2.2%,2.9000001,44.560001,Low,2022-03-24,24mar2022,1005,1,5,1
"Bibb County, AL",1007,Alabama,22394,150,"Jefferson (Birmingham), AL - Shelby, AL",1.4%,3.4000001,26.790001,Low,2022-03-24,24mar2022,1007,1,7,1
"Blount County, AL",1009,Alabama,57826,150,"Jefferson (Birmingham), AL - Shelby, AL",1.4%,3.4000001,19.02,Low,2022-03-24,24mar2022,1009,1,9,1
"Bullock County, AL",1011,Alabama,10101,171,"Montgomery (Montgomery), AL - Autauga, AL",1.6%,3.9000001,9.8999996,Low,2022-03-24,24mar2022,1011,1,11,1
"Butler County, AL",1013,Alabama,19448,259,"Butler, AL",0.0%,0,5.1399999,Low,2022-03-24,24mar2022,1013,1,13,1
"Calhoun County, AL",1015,Alabama,113605,177,"Calhoun (Anniston), AL - Carroll, GA",0.6%,6.0999999,13.2,Low,2022-03-24,24mar2022,1015,1,15,2
"Chambers County, AL",1017,Alabama,33254,172,"Coweta, GA - Troup (La Grange), GA",2.2%,4.1999998,45.110001,Low,2022-03-24,24mar2022,1017,1,17,1
"Cherokee County, AL",1019,Alabama,26196,224,"Etowah (Gadsden), AL - Marshall, AL",1.1%,1.3,7.6300001,Low,2022-03-24,24mar2022,1019,1,19,1
"Chilton County, AL",1021,Alabama,44428,150,"Jefferson (Birmingham), AL - Shelby, AL",1.4%,3.4000001,231.84,Medium,2022-03-24,24mar2022,1021,1,21,3
"Choctaw County, AL",1023,Alabama,12589,412,"Lauderdale, MS - Neshoba, MS",1.9%,1.1,7.9400001,Low,2022-03-24,24mar2022,1023,1,23,1
"Clarke County, AL",1025,Alabama,23622,161,"Mobile (Mobile), AL - Baldwin, AL",0.7%,1.7,21.17,Low,2022-03-24,24mar2022,1025,1,25,1
"Clay County, AL",1027,Alabama,13235,241,"Talladega, AL - Clay, AL",0.1%,0,15.11,Low,2022-03-24,24mar2022,1027,1,27,1
"Cleburne County, AL",1029,Alabama,14910,177,"Calhoun (Anniston), AL - Carroll, GA",0.6%,6.0999999,13.41,Low,2022-03-24,24mar2022,1029,1,29,2
"Coffee County, AL",1031,Alabama,52342,162,"Houston (Dothan), AL - Dale, AL",2.2%,2.9000001,5.73,Low,2022-03-24,24mar2022,1031,1,31,1
"Colbert County, AL",1033,Alabama,55241,219,"Lauderdale (Florence), AL - Colbert, AL",1.3%,4.9000001,34.389999,Low,2022-03-24,24mar2022,1033,1,33,1
"Conecuh County, AL",1035,Alabama,12067,163,"Escambia (Pensacola), FL - Okaloosa, FL",1.5%,4.8000002,58.009998,Low,2022-03-24,24mar2022,1035,1,35,2
"Coosa County, AL",1037,Alabama,10663,241,"Talladega, AL - Clay, AL",0.1%,0,65.650002,Low,2022-03-24,24mar2022,1037,1,37,2
"Covington County, AL",1039,Alabama,37049,171,"Montgomery (Montgomery), AL - Autauga, AL",1.6%,3.9000001,26.99,Low,2022-03-24,24mar2022,1039,1,39,1
"Crenshaw County, AL",1041,Alabama,13772,171,"Montgomery (Montgomery), AL - Autauga, AL",1.6%,3.9000001,14.52,Low,2022-03-24,24mar2022,1041,1,41,1
"Cullman County, AL",1043,Alabama,83768,150,"Jefferson (Birmingham), AL - Shelby, AL",1.4%,3.4000001,11.94,Low,2022-03-24,24mar2022,1043,1,43,1
"Dale County, AL",1045,Alabama,49172,162,"Houston (Dothan), AL - Dale, AL",2.2%,2.9000001,22.370001,Low,2022-03-24,24mar2022,1045,1,45,1
