v1,date,geoid,state,cases,cases_avg,cases_avg_per_100k,deaths,deaths_avg,deaths_avg_per_100k,sumlev,region,division,v14,popestimate2019,popest18plus2019,pcnt_popest18plus,abbr,ymd,year,weekx,year_wk,outcome,month,v25,weeky,agegroup,vaccineproduct,vaccinatedwithoutcome,fullyvaccinatedpopulation,unvaccinatedwithoutcome,unvaccinatedpopulation,crudevaxir,crudeunvaxir,crudeirr,ageadjustedvaxir,ageadjustedunvaxir,ageadjustedirr,continuitycorrection,perc_vax,statey,totaltests,postests,testpos,usa_or_hhsregion,dominant,a25,ay1,ay2,ay3,b11194,b11529,b117,b1351,b1427,b1429,b1525,b1526,b16171,b16172,b16173,b1621,b16211,b1626,b1628,b1637,ba2,ba2121,ba4,ba5,other,p1,admits_avg,admits_confirmed_avg,admits_suspected_avg,percentc19,hosped_avg,admits_confirmed_100k,admits_metric,admits_100k,statewide,cdc_flag_1,cdc_flag_2,cdc_flag,cdc_flag_alt,cdc_flag_inc_susp,deaths_17_lag,deaths_21_lag,deaths_07_days_ago,deaths_12_lag_100k,deaths_13_lag_100k,deaths_14_lag_100k,deaths_15_lag_100k,deaths_16_lag_100k,deaths_17_lag_100k,deaths_18_lag_100k,deaths_19_lag_100k,deaths_20_lag_100k,deaths_21_lag_100k,deaths_22_lag_100k,deaths_23_lag_100k,deaths_24_lag_100k,deaths_25_lag_100k,deaths_26_lag_100k,cases_lag_00,cases_lag_01,cases_lag_02,cases_lag_03,cases_lag_04,cases_lag_05,cases_lag_06,cases_lag_07,cases_lag_08,cases_lag_09,cases_lag_10,cases_lag_11,cases_lag_12,cases_lag_13,cases_lag_14,cases_lag_15,cases_lag_16,cases_lag_17,cases_lag_18,cases_lag_19,cases_lag_20,cases_lag_21,cases_lag_22,cases_lag_23,cases_lag_24,cases_lag_25,cases_lag_26,cases_lag_27,cases_lag_28,cases_lag_29,cases_lag_30,cases_lag_31,cases_lag_32,cases_lag_33,cases_lag_34,cases_lag_35,cases_lag_36,cases_lag_37,cases_lag_38,cases_lag_39,cases_lag_40,cases_lag_41,cases_lag_42,cases_lag_43,cases_lag_44,cases_lag_45,cases_lag_46,cases_lag_47,cases_lag_48,cases_lag_49,cases_lag_50,cases_lag_51,admits_7_lag,admits_7d_ago,admits_21d_ago,dotw,cases_yesterday,admits_yesterday,perc_yesterday,check_bound,check_bound2,chk,cases_deconvolved1,cases_deconvolved2,date2,dayofweek,fips,deathslag21,admitsweekly,casesweekly,cdcorange,cdcalt2,cdcalt3,newepoch,newonepoch,newoffepoch,triggeron,epochnum,onepochnum,offepochnum,cmtrigger,triggeroff,numhigheps,twomoper,triggeronstrict,cmtriggerstrict,triggeroffstrict,triggeron2,cmtrigger2,triggeroff2,triggeron3,cmtrigger3,triggeroff3,orphanalt2,orphanalt3,lagcdc2,lagcdc3,zekelagcdc,zekelagalt1,zekelagalt2
449,2021-06-04,USA-01,Alabama,557,311.42999,6.3499999,10,7.4299998,.15000001,40,3,6,1,4903185,3814879,77.800003,AL,2021-06-04,2021,22,2021-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108.285714285714,40.8571428571429,67.4285714285714,.035201423,277,0.833277611535009,.833277611535009,2.208477026376,NA,FALSE,FALSE,FALSE,TRUE,FALSE,5.29,4.29,9.43,0.11,0.11,0.12,0.12,0.12,0.11,0.11,0.12,0.12,0.09,0.09,0.09,0.08,0.08,0.07,311.42999,264.43,252.43,211.86,247.43,247.43,247.43,247.43,278.14,277.14,279.86,284.14,291.57,299.86,313,294,260.71,254.43,266.29,284.86,329.29,329.29,329.29,329.29,327.5,330,341.57,347.86,343.29,356.86,337.57,348,348,352.29,344.43,349.29,352,388,393.14,357.71,365.29,404.57,404.71,403.71,345.86,311.57,311.57,340.14,352.14,325,331,319.14,30.5714285714286,48.7142857142857,72,Friday,5.67,1.00809109647242,0.0349632095709997,FALSE,FALSE,2021-06-04 Alabama,294.762191379297,285.077437074326,04jun2021,5,1,.63,5.8329434,44.450001,0,1,0,0,,,,0,0,0,0,,2,1,,0,,,0,,,0,,0,0,,,,,
456,2021-06-11,USA-01,Alabama,188,248.28999,5.0599999,14,9.71,.2,40,3,6,1,4903185,3814879,77.800003,AL,2021-06-11,2021,23,2021-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103.714285714286,30.5714285714286,73.1428571428571,.029240742,230.285714285714,0.623501429610112,.623501429610112,2.11524316774272,NA,FALSE,FALSE,FALSE,FALSE,FALSE,3.86,3.14,7.43,0.12,0.12,0.09,0.09,0.09,0.08,0.08,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.1,248.28999,301,321,356.43,291.9,311.43,311.43,311.43,264.43,252.43,211.86,247.43,247.43,247.43,247.43,278.14,277.14,279.86,284.14,291.57,299.86,313,294,260.71,254.43,266.29,284.86,329.29,329.29,329.29,329.29,327.5,330,341.57,347.86,343.29,356.86,337.57,348,348,352.29,344.43,349.29,352,388,393.14,357.71,365.29,404.57,404.71,403.71,345.86,28.5714285714286,40.8571428571429,53,Friday,5.39,0.879894540851653,0.0357558584708989,FALSE,FALSE,2021-06-11 Alabama,272.987073055101,271.052167518807,11jun2021,5,1,.41999999,4.3645101,35.419998,0,0,0,0,,,,0,0,0,0,,2,1,,0,,,0,,,0,,0,0,,,,,
463,2021-06-18,USA-01,Alabama,334,190.57001,3.8900001,18,5.71,.12,40,3,6,1,4903185,3814879,77.800003,AL,2021-06-18,2021,24,2021-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91.4285714285714,28.5714285714286,62.8571428571429,.0261021,198,0.582711616458049,.582711616458049,1.86467717266576,NA,FALSE,FALSE,FALSE,FALSE,FALSE,3.14,5.71,9.71,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.1,0.1,0.12,0.11,0.11,0.11,0.11,0.12,190.57001,211.14,211.14,231.86,221.29,248.29,248.29,248.29,301,321,356.43,291.9,311.43,311.43,311.43,264.43,252.43,211.86,247.43,247.43,247.43,247.43,278.14,277.14,279.86,284.14,291.57,299.86,313,294,260.71,254.43,266.29,284.86,329.29,329.29,329.29,329.29,327.5,330,341.57,347.86,343.29,356.86,337.57,348,348,352.29,344.43,349.29,352,388,28,30.5714285714286,48.7142857142857,Friday,6.14,0.620587871527822,0.0300732521864719,FALSE,FALSE,2021-06-18 Alabama,279.805588269079,282.293869428379,18jun2021,5,1,.83999997,4.0789814,27.230001,0,0,0,0,,,,0,0,0,0,,2,1,,0,,,0,,,0,,0,0,,,,,
470,2021-06-25,USA-01,Alabama,540,182.42999,3.72,8,4.29,.090000004,40,3,6,1,4903185,3814879,77.800003,AL,2021-06-25,2021,25,2021-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.1428571428571,28,71.1428571428571,.023195585,186.142857142857,0.571057384128888,.571057384128888,2.02200930910943,NA,FALSE,FALSE,FALSE,FALSE,FALSE,5.5,6.29,5.71,0.1,0.1,0.12,0.11,0.11,0.11,0.11,0.12,0.13,0.13,0.12,0.12,0.12,0.12,0.1,182.42999,153,153,162.86,162.86,190.57,190.57,190.57,211.14,211.14,231.86,221.29,248.29,248.29,248.29,301,321,356.43,291.9,311.43,311.43,311.43,264.43,252.43,211.86,247.43,247.43,247.43,247.43,278.14,277.14,279.86,284.14,291.57,299.86,313,294,260.71,254.43,266.29,284.86,329.29,329.29,329.29,329.29,327.5,330,341.57,347.86,343.29,356.86,337.57,68,28.5714285714286,40.8571428571429,Friday,4.31,0.60019296495179,0.0255763539464283,FALSE,FALSE,2021-06-25 Alabama,266.324431168038,249.353804145477,25jun2021,5,1,.90999997,3.9974017,26.040001,0,0,0,0,,,,0,0,0,0,,2,1,,0,,,0,,,0,,0,0,,,,,
477,2021-07-02,USA-01,Alabama,315,194.86,3.97,6,3.1400001,.059999999,40,3,6,1,4903185,3814879,77.800003,AL,2021-07-02,2021,26,2021-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,138.428571428571,68,70.4285714285714,.042135391,250.857142857143,1.38685364717016,1.38685364717016,2.82323778173925,NA,FALSE,FALSE,FALSE,TRUE,FALSE,5.86,4.29,4.29,0.12,0.13,0.13,0.12,0.12,0.12,0.12,0.1,0.08,0.09,0.12,0.12,0.12,0.09,0.14,194.86,227,227,205.43,205.43,182.43,182.43,182.43,153,153,162.86,162.86,190.57,190.57,190.57,211.14,211.14,231.86,221.29,248.29,248.29,248.29,301,321,356.43,291.9,311.43,311.43,311.43,264.43,252.43,211.86,247.43,247.43,247.43,247.43,278.14,277.14,279.86,284.14,291.57,299.86,313,294,260.71,254.43,266.29,284.86,329.29,329.29,329.29,329.29,43.4285714285714,28,30.5714285714286,Friday,3.12,0.571057384128888,0.024263632595696,FALSE,FALSE,2021-07-02 Alabama,219.064885943447,202.110276734072,02jul2021,5,1,.63,9.7079754,27.790001,0,1,0,0,,,,0,0,0,0,,2,1,,0,,1,1,,,0,,0,0,3,,,2,
484,2021-07-09,USA-01,Alabama,1160,396.14001,8.0799999,11,5.71,.12,40,3,6,1,4903185,3814879,77.800003,AL,2021-07-09,2021,27,2021-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,119.285714285714,43.4285714285714,75.8571428571429,.029451557,240.285714285714,0.885721657016234,.885721657016234,2.43282099871235,NA,FALSE,FALSE,FALSE,TRUE,FALSE,5.71,6.86,3.14,0.1,0.08,0.09,0.12,0.12,0.12,0.09,0.14,0.14,0.14,0.15,0.15,0.15,0.15,0.15,396.14001,275.43,275.43,194.86,194.86,194.86,194.86,194.86,227,227,205.43,205.43,182.43,182.43,182.43,153,153,162.86,162.86,190.57,190.57,190.57,211.14,211.14,231.86,221.29,248.29,248.29,248.29,301,321,356.43,291.9,311.43,311.43,311.43,264.43,252.43,211.86,247.43,247.43,247.43,247.43,278.14,277.14,279.86,284.14,291.57,299.86,313,294,260.71,65.5714285714286,68,28.5714285714286,Friday,4.63,0.643896336186144,0.0242820884113209,FALSE,FALSE,2021-07-09 Alabama,195.097610542603,195.305013107979,09jul2021,5,1,.98000002,6.2000518,56.559998,0,1,0,0,,,,0,0,0,0,,2,1,,0,,,1,,,0,,0,0,,,,,
491,2021-07-16,USA-01,Alabama,999,643.71002,13.13,3,6.29,.13,40,3,6,1,4903185,3814879,77.800003,AL,2021-07-16,2021,28,2021-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,155.428571428571,65.5714285714286,89.8571428571429,.036260717,328.857142857143,1.33732315977122,1.33732315977122,3.16995119353178,NA,FALSE,FALSE,FALSE,TRUE,TRUE,7.57,10.5,5.71,0.14,0.14,0.14,0.15,0.15,0.15,0.15,0.15,0.17,0.21,0.26,0.26,0.2,0.31,0.37,643.71002,583.38,528.86,391.7,391.7,413.38,413.38,396.14,275.43,275.43,194.86,194.86,194.86,194.86,194.86,227,227,205.43,205.43,182.43,182.43,182.43,153,153,162.86,162.86,190.57,190.57,190.57,211.14,211.14,231.86,221.29,248.29,248.29,248.29,301,321,356.43,291.9,311.43,311.43,311.43,264.43,252.43,211.86,247.43,247.43,247.43,247.43,278.14,277.14,140.142857142857,43.4285714285714,28,Friday,5.62,1.57332136443673,0.045953361919193,FALSE,FALSE,2021-07-16 Alabama,213.365974236912,240.068289915058,16jul2021,5,1,1.4699999,9.3612623,91.910004,0,1,0,0,,,,0,0,0,0,,2,1,,0,,,1,,,0,,0,0,,,,,
498,2021-07-23,USA-01,Alabama,1733,1238,25.25,4,4.29,.090000004,40,3,6,1,4903185,3814879,77.800003,AL,2021-07-23,2021,29,2021-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,227.714285714286,140.142857142857,87.5714285714286,.059110835,573.857142857143,2.85820047872673,2.85820047872673,4.64421158317065,NA,FALSE,TRUE,TRUE,TRUE,TRUE,9.89,23.57,6.29,0.15,0.17,0.21,0.26,0.26,0.2,0.31,0.37,0.44,0.48,0.48,0.44,0.51,0.54,0.53,1238,1133.14,1047.14,887,815,699.63,696.14,643.71,583.38,528.86,391.7,391.7,413.38,413.38,396.14,275.43,275.43,194.86,194.86,194.86,194.86,194.86,227,227,205.43,205.43,182.43,182.43,182.43,153,153,162.86,162.86,190.57,190.57,190.57,211.14,211.14,231.86,221.29,248.29,248.29,248.29,301,321,356.43,291.9,311.43,311.43,311.43,264.43,252.43,244.142857142857,65.5714285714286,68,Friday,11.9,1.19747237182129,0.0346647662204684,FALSE,FALSE,2021-07-23 Alabama,324.283788925762,402.831250184631,23jul2021,5,1,3.3599999,20.007402,176.75,1,1,1,1,1,,1,1,1,0,1,,2,1,1,1,,,1,,1,1,,0,0,,0,1,,1
505,2021-07-30,USA-01,Alabama,0,2097.5701,42.779999,0,6.8600001,.14,40,3,6,1,4903185,3814879,77.800003,AL,2021-07-30,2021,30,2021-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,344.428571428571,244.142857142857,100.285714285714,.10375813,1094.85714285714,4.97927076263403,4.97927076263403,7.02458853640178,NA,TRUE,FALSE,TRUE,TRUE,TRUE,24.86,25.29,4.29,0.37,0.44,0.48,0.48,0.44,0.51,0.54,0.53,0.55,0.52,0.6,0.6,0.6,0.6,0.6,2097.5701,2097.57,1931.43,1775.14,1592.86,1495,1379,1238,1133.14,1047.14,887,815,699.63,696.14,643.71,583.38,528.86,391.7,391.7,413.38,413.38,396.14,275.43,275.43,194.86,194.86,194.86,194.86,194.86,227,227,205.43,205.43,182.43,182.43,182.43,153,153,162.86,162.86,190.57,190.57,190.57,211.14,211.14,231.86,221.29,248.29,248.29,248.29,301,321,289.714285714286,140.142857142857,43.4285714285714,Friday,23.11,2.59015313515603,0.05474595352748,TRUE,TRUE,2021-07-30 Alabama,597.114008767449,769.104159290386,30jul2021,5,1,3.6399999,34.854897,299.45999,1,1,1,0,,,,1,1,0,1,,2,1,,1,,,1,,,1,,0,0,,,,,
512,2021-08-06,USA-01,Alabama,3685,2890.6299,58.950001,26,10.5,.20999999,40,3,6,1,4903185,3814879,77.800003,AL,2021-08-06,2021,31,2021-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,403,289.714285714286,113.285714285714,.15606414,1708.85714285714,5.90869579088461,5.90869579088461,8.21914735014078,NA,TRUE,FALSE,TRUE,TRUE,TRUE,29.38,30.14,6.86,0.53,0.55,0.52,0.6,0.6,0.6,0.6,0.6,0.55,0.61,0.64,0.57,0.57,0.58,0.54,2890.6299,2777.14,2621.86,2525.71,2434.29,2391.14,2353.71,2097.57,2097.57,1931.43,1775.14,1592.86,1495,1379,1238,1133.14,1047.14,887,815,699.63,696.14,643.71,583.38,528.86,391.7,391.7,413.38,413.38,396.14,275.43,275.43,194.86,194.86,194.86,194.86,194.86,227,227,205.43,205.43,182.43,182.43,182.43,153,153,162.86,162.86,190.57,190.57,190.57,211.14,211.14,364.714285714286,244.142857142857,65.5714285714286,Friday,42.78,4.71413697714561,0.0962701964897263,FALSE,FALSE,2021-08-06 Alabama,1138.54378218338,1423.85682024369,06aug2021,5,1,4.27,41.36087,412.64999,1,1,1,0,,,,1,1,0,1,,2,2,,1,,,1,,,1,,0,0,,,,,
