v1,date,geoid,state,cases,cases_avg,cases_avg_per_100k,deaths,deaths_avg,deaths_avg_per_100k,sumlev,region,division,v14,popestimate2019,popest18plus2019,pcnt_popest18plus,abbr,ymd,year,weekx,year_wk,outcome,month,v25,weeky,agegroup,vaccineproduct,vaccinatedwithoutcome,fullyvaccinatedpopulation,unvaccinatedwithoutcome,unvaccinatedpopulation,crudevaxir,crudeunvaxir,crudeirr,ageadjustedvaxir,ageadjustedunvaxir,ageadjustedirr,continuitycorrection,perc_vax,statey,totaltests,postests,testpos,usa_or_hhsregion,dominant,a25,ay1,ay2,ay3,b11194,b11529,b117,b1351,b1427,b1429,b1525,b1526,b16171,b16172,b16173,b1621,b16211,b1626,b1628,b1637,ba2,ba2121,ba4,ba5,other,p1,admits_avg,admits_confirmed_avg,admits_suspected_avg,perc_covid,hosped_avg,factor,factor_count,factor_avg1,factor_avg2,c19factor,num_factor,denom_factor,admits_confirmed_100k,admits_metric,admits_100k,statewide,cdc_flag_1,cdc_flag_2,cdc_flag,cdc_flag_alt,cdc_flag_inc_susp,deaths_17_lag,deaths_21_lag,deaths_07_days_ago,deaths_12_lag_100k,deaths_13_lag_100k,deaths_14_lag_100k,deaths_15_lag_100k,deaths_16_lag_100k,deaths_17_lag_100k,deaths_18_lag_100k,deaths_19_lag_100k,deaths_20_lag_100k,deaths_21_lag_100k,deaths_22_lag_100k,deaths_23_lag_100k,deaths_24_lag_100k,deaths_25_lag_100k,deaths_26_lag_100k,cases_lag_00,cases_lag_01,cases_lag_02,cases_lag_03,cases_lag_04,cases_lag_05,cases_lag_06,cases_lag_07,cases_lag_08,cases_lag_09,cases_lag_10,cases_lag_11,cases_lag_12,cases_lag_13,cases_lag_14,cases_lag_15,cases_lag_16,cases_lag_17,cases_lag_18,cases_lag_19,cases_lag_20,cases_lag_21,cases_lag_22,cases_lag_23,cases_lag_24,cases_lag_25,cases_lag_26,cases_lag_27,cases_lag_28,cases_lag_29,cases_lag_30,cases_lag_31,cases_lag_32,cases_lag_33,cases_lag_34,cases_lag_35,cases_lag_36,cases_lag_37,cases_lag_38,cases_lag_39,cases_lag_40,cases_lag_41,cases_lag_42,cases_lag_43,cases_lag_44,cases_lag_45,cases_lag_46,cases_lag_47,cases_lag_48,cases_lag_49,cases_lag_50,cases_lag_51,admits_7_lag,admits_7d_ago,admits_21d_ago,dotw,cases_yesterday,admits_yesterday,perc_yesterday,check_bound,check_bound2,chk,cases_deconvolved1,cases_deconvolved2,date2,dayofweek,fips,lastdate,deathslag00,iszekelag00,deathslag07,iszekelag07,deathslag14,iszekelag14,deathslag21,iszekelag21,deathslag28,iszekelag28,deathslag35,iszekelag35,deathslag42,iszekelag42,deathslag49,iszekelag49,deathslag56,iszekelag56,deathslag63,iszekelag63,deathslag70,iszekelag70,deathslag77,iszekelag77,deathslag84,iszekelag84,admitsweekly,casesweekly,percentc19,cdcorange,cdcalt2,cdcalt3,newepoch,newonepoch,newoffepoch,triggeron,epochnum,onepochnum,offepochnum,cmtrigger,triggeroff,numhigheps,twomoper,triggeronstrict,cmtriggerstrict,triggeroffstrict,triggeron2,cmtrigger2,triggeroff2,triggeron3,cmtrigger3,triggeroff3,orphanalt2,orphanalt3,lagcdc2,lagcdc3,zekelagcdc,zekelagalt1,zekelagalt2
447,2021-06-02,USA-01,Alabama,553,252.42999,5.1500001,11,4.1399999,.079999998,40,3,6,1,4903185,3814879,77.800003,AL,2021-06-02,2021,22,2021-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,110.142857142857,44.4285714285714,65.7142857142857,.026739636,284.571428571429,0.755434782608696,FALSE,0.742729306487696,0.742729306487696,.742729306487696,278,368,0.906116563592266,.906116563592266,2.24635328144578,NA,FALSE,FALSE,FALSE,TRUE,FALSE,5.71,5.71,13.29,0.17,0.18,0.11,0.11,0.12,0.12,0.12,0.11,0.11,0.12,0.12,0.09,0.09,0.09,0.08,252.42999,211.86,247.43,247.43,247.43,247.43,278.14,277.14,279.86,284.14,291.57,299.86,313,294,260.71,254.43,266.29,284.86,329.29,329.29,329.29,329.29,327.5,330,341.57,347.86,343.29,356.86,337.57,348,348,352.29,344.43,349.29,352,388,393.14,357.71,365.29,404.57,404.71,403.71,345.86,311.57,311.57,340.14,352.14,325,331,319.14,307.57,307.57,32,49.5714285714286,69,Wednesday,5.71,0.976041957567231,0.0280074023822153,FALSE,FALSE,2021-06-02 Alabama,301.297032360074,292.32607115933,02jun2021,3,1,22797,.56,0,1.6799999,1,.76999998,0,.83999997,0,.49000001,0,.69999999,0,.83999997,0,.69999999,0,.98000002,1,1.0500001,1,2.5900002,1,3.7099998,1,4.2000003,1,6.3428159,36.049999,2.6739635,0,1,0,1,,1,,1,0,1,0,,2,1,,0,,,0,,,0,,0,0,,,,,
454,2021-06-09,USA-01,Alabama,305,321,6.5500002,29,11.71,.23999999,40,3,6,1,4903185,3814879,77.800003,AL,2021-06-09,2021,23,2021-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,107.714285714286,32,75.7142857142857,.022285277,242.285714285714,0.75,FALSE,0.721702127659574,0.721702127659574,.721702127659574,228,304,0.652637010433014,.652637010433014,2.19682279404684,NA,FALSE,FALSE,FALSE,FALSE,FALSE,4.29,3.43,4.14,0.11,0.11,0.12,0.12,0.09,0.09,0.09,0.08,0.08,0.07,0.07,0.06,0.06,0.06,0.06,321,356.43,291.9,311.43,311.43,311.43,264.43,252.43,211.86,247.43,247.43,247.43,247.43,278.14,277.14,279.86,284.14,291.57,299.86,313,294,260.71,254.43,266.29,284.86,329.29,329.29,329.29,329.29,327.5,330,341.57,347.86,343.29,356.86,337.57,348,348,352.29,344.43,349.29,352,388,393.14,357.71,365.29,404.57,404.71,403.71,345.86,311.57,311.57,30.1428571428571,44.4285714285714,59.7142857142857,Wednesday,4.32,0.935252144415168,0.0268755385420933,FALSE,FALSE,2021-06-09 Alabama,277.497796025535,270.45060311212,09jun2021,3,1,22797,1.6799999,1,.76999998,0,.83999997,0,.49000001,0,.69999999,0,.83999997,0,.69999999,0,.98000002,1,1.0500001,1,2.5900002,1,3.7099998,1,4.2000003,1,3.7800002,1,4.568459,45.850002,2.2285278,0,0,0,0,,,,1,0,1,0,,2,1,,0,,,0,,,0,,0,0,,,,,
461,2021-06-16,USA-01,Alabama,160,211.14,4.3099999,7,5.5700002,.11,40,3,6,1,4903185,3814879,77.800003,AL,2021-06-16,2021,24,2021-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93.1428571428571,30.1428571428571,63,.018889792,207.285714285714,0.714285714285714,FALSE,0.721890547263682,0.721890547263682,.721890547263682,195,273,0.614760755363241,.614760755363241,1.89963986965324,NA,FALSE,FALSE,FALSE,FALSE,FALSE,3.14,5,11.71,0.08,0.08,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.1,0.1,0.12,0.11,0.11,0.11,211.14,231.86,221.29,248.29,248.29,248.29,301,321,356.43,291.9,311.43,311.43,311.43,264.43,252.43,211.86,247.43,247.43,247.43,247.43,278.14,277.14,279.86,284.14,291.57,299.86,313,294,260.71,254.43,266.29,284.86,329.29,329.29,329.29,329.29,327.5,330,341.57,347.86,343.29,356.86,337.57,348,348,352.29,344.43,349.29,352,388,393.14,357.71,27.2857142857143,32,49.5714285714286,Wednesday,7.27,0.728389520572561,0.022982177954329,FALSE,FALSE,2021-06-16 Alabama,276.264115966091,282.155618765438,16jun2021,3,1,22797,.76999998,0,.83999997,0,.49000001,0,.69999999,0,.83999997,0,.69999999,0,.98000002,1,1.0500001,1,2.5900002,1,3.7099998,1,4.2000003,1,3.7800002,1,3.99,1,4.3033252,30.17,1.8889792,0,0,0,0,,,,1,0,1,0,,2,1,,0,,,0,,,0,,0,0,,,,,
468,2021-06-23,USA-01,Alabama,381,153,3.1199999,17,5.71,.12,40,3,6,1,4903185,3814879,77.800003,AL,2021-06-23,2021,25,2021-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.8571428571429,27.2857142857143,70.5714285714286,.016910333,186,0.795275590551181,FALSE,0.692921766897286,0.692921766897286,.692921766897286,202,254,0.556489593717436,.556489593717436,1.99578728636882,NA,FALSE,FALSE,FALSE,FALSE,FALSE,5.5,5.86,5.57,0.06,0.06,0.1,0.1,0.12,0.11,0.11,0.11,0.11,0.12,0.13,0.13,0.12,0.12,0.12,153,162.86,162.86,190.57,190.57,190.57,211.14,211.14,231.86,221.29,248.29,248.29,248.29,301,321,356.43,291.9,311.43,311.43,311.43,264.43,252.43,211.86,247.43,247.43,247.43,247.43,278.14,277.14,279.86,284.14,291.57,299.86,313,294,260.71,254.43,266.29,284.86,329.29,329.29,329.29,329.29,327.5,330,341.57,347.86,343.29,356.86,337.57,348,348,29.5714285714286,30.1428571428571,44.4285714285714,Wednesday,4.73,0.60019296495179,0.0193222685834902,FALSE,FALSE,2021-06-23 Alabama,275.173437707935,262.870717946058,23jun2021,3,1,22797,.83999997,0,.49000001,0,.69999999,0,.83999997,0,.69999999,0,.98000002,1,1.0500001,1,2.5900002,1,3.7099998,1,4.2000003,1,3.7800002,1,3.99,1,6.02,1,3.8954272,21.84,1.6910334,0,0,0,0,,,,1,0,1,0,,2,1,,0,,,0,,,0,,0,0,,,,,
475,2021-06-30,USA-01,Alabama,532,227,4.6300001,14,3.4300001,.07,40,3,6,1,4903185,3814879,77.800003,AL,2021-06-30,2021,26,2021-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100.857142857143,29.5714285714286,71.2857142857143,.017571937,192.571428571429,0.753521126760563,FALSE,0.739846322722283,0.739846322722283,.739846322722283,214,284,0.60310652303408,.60310652303408,2.05697200609691,NA,FALSE,FALSE,FALSE,FALSE,FALSE,5.86,4.86,5.71,0.11,0.11,0.12,0.13,0.13,0.12,0.12,0.12,0.12,0.1,0.08,0.09,0.12,0.12,0.12,227,205.43,205.43,182.43,182.43,182.43,153,153,162.86,162.86,190.57,190.57,190.57,211.14,211.14,231.86,221.29,248.29,248.29,248.29,301,321,356.43,291.9,311.43,311.43,311.43,264.43,252.43,211.86,247.43,247.43,247.43,247.43,278.14,277.14,279.86,284.14,291.57,299.86,313,294,260.71,254.43,266.29,284.86,329.29,329.29,329.29,329.29,327.5,330,77.8571428571429,27.2857142857143,32,Wednesday,3.32,0.544835361388275,0.0167876098043805,FALSE,FALSE,2021-06-30 Alabama,232.990054724778,212.689393968147,30jun2021,3,1,22797,.49000001,0,.69999999,0,.83999997,0,.69999999,0,.98000002,1,1.0500001,1,2.5900002,1,3.7099998,1,4.2000003,1,3.7800002,1,3.99,1,6.02,1,17.99,1,4.2217455,32.41,1.7571937,0,0,0,0,,,,1,0,1,0,,2,1,,0,,,0,,,0,,0,0,,,,,
482,2021-07-07,USA-01,Alabama,1613,275.42999,5.6199999,29,5,.1,40,3,6,1,4903185,3814879,77.800003,AL,2021-07-07,2021,27,2021-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,146.285714285714,77.8571428571429,68.4285714285714,.025462953,278,0.802431610942249,FALSE,0.561616161616162,0.561616161616162,.561616161616162,264,329,1.58788915484818,1.58788915484818,2.98348347626521,NA,FALSE,FALSE,FALSE,TRUE,TRUE,5.71,6.86,3.43,0.12,0.12,0.1,0.08,0.09,0.12,0.12,0.12,0.09,0.14,0.14,0.14,0.15,0.15,0.15,275.42999,194.86,194.86,194.86,194.86,194.86,227,227,205.43,205.43,182.43,182.43,182.43,153,153,162.86,162.86,190.57,190.57,190.57,211.14,211.14,231.86,221.29,248.29,248.29,248.29,301,321,356.43,291.9,311.43,311.43,311.43,264.43,252.43,211.86,247.43,247.43,247.43,247.43,278.14,277.14,279.86,284.14,291.57,299.86,313,294,260.71,254.43,266.29,53.7142857142857,29.5714285714286,30.1428571428571,Wednesday,4.19,0.585625174540339,0.0174515853394367,FALSE,FALSE,2021-07-07 Alabama,197.441715953997,194.197306163253,07jul2021,3,1,22797,.69999999,0,.83999997,0,.69999999,0,.98000002,1,1.0500001,1,2.5900002,1,3.7099998,1,4.2000003,1,3.7800002,1,3.99,1,6.02,1,17.99,1,10.92,1,11.115224,39.34,2.5462954,0,1,1,0,,,,1,0,1,0,,2,1,,0,,1,1,,,0,,0,0,3,,,3,
489,2021-07-14,USA-01,Alabama,1398,528.85999,10.79,26,5.8600001,.12,40,3,6,1,4903185,3814879,77.800003,AL,2021-07-14,2021,28,2021-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,138.142857142857,53.7142857142857,84.4285714285714,.026433107,291.142857142857,0.820093457943925,FALSE,0.79268767016725,0.79268767016725,.7926876701672499,351,428,1.09549783894113,1.09549783894113,2.81741066557467,NA,FALSE,FALSE,FALSE,TRUE,FALSE,7.57,7.29,5,0.12,0.09,0.14,0.14,0.14,0.15,0.15,0.15,0.15,0.15,0.17,0.21,0.26,0.26,0.2,528.85999,391.7,391.7,413.38,413.38,396.14,275.43,275.43,194.86,194.86,194.86,194.86,194.86,227,227,205.43,205.43,182.43,182.43,182.43,153,153,162.86,162.86,190.57,190.57,190.57,211.14,211.14,231.86,221.29,248.29,248.29,248.29,301,321,356.43,291.9,311.43,311.43,311.43,264.43,252.43,211.86,247.43,247.43,247.43,247.43,278.14,277.14,279.86,284.14,112.857142857143,77.8571428571429,27.2857142857143,Wednesday,3.97,1.55875357402528,0.0247679976421809,FALSE,FALSE,2021-07-14 Alabama,201.666306123108,216.984147947793,14jul2021,3,1,22797,.83999997,0,.69999999,0,.98000002,1,1.0500001,1,2.5900002,1,3.7099998,1,4.2000003,1,3.7800002,1,3.99,1,6.02,1,17.99,1,10.92,1,8.4000006,1,7.6684847,75.529999,2.6433105,0,1,0,0,,,,1,0,1,0,,2,1,,0,,,1,,,0,,0,0,,,,,
496,2021-07-21,USA-01,Alabama,1632,1047.14,21.360001,2,4.8600001,.1,40,3,6,1,4903185,3814879,77.800003,AL,2021-07-21,2021,29,2021-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,205.857142857143,112.857142857143,93,.043300848,483.714285714286,0.881258941344778,FALSE,0.855698761688148,0.855698761688148,.855698761688148,616,699,2.30171088500929,2.30171088500929,4.19843719658024,NA,FALSE,FALSE,FALSE,TRUE,TRUE,12.57,18.29,5.86,0.15,0.15,0.15,0.17,0.21,0.26,0.26,0.2,0.31,0.37,0.44,0.48,0.48,0.44,0.51,1047.14,887,815,699.63,696.14,643.71,583.38,528.86,391.7,391.7,413.38,413.38,396.14,275.43,275.43,194.86,194.86,194.86,194.86,194.86,227,227,205.43,205.43,182.43,182.43,182.43,153,153,162.86,162.86,190.57,190.57,190.57,211.14,211.14,231.86,221.29,248.29,248.29,248.29,301,321,356.43,291.9,311.43,311.43,311.43,264.43,252.43,211.86,247.43,216,53.7142857142857,29.5714285714286,Wednesday,7.99,1.00517753839013,0.0254800551359575,FALSE,FALSE,2021-07-21 Alabama,279.791540826282,341.142548421705,21jul2021,3,1,22797,.69999999,0,.98000002,1,1.0500001,1,2.5900002,1,3.7099998,1,4.2000003,1,3.7800002,1,3.99,1,6.02,1,17.99,1,10.92,1,8.4000006,1,7.4900002,1,16.111977,149.52,4.3300848,0,1,1,0,,,,1,0,1,0,,2,1,,0,,,1,,1,1,,0,0,,1,,,1
503,2021-07-28,USA-01,Alabama,2726,1931.4301,39.389999,18,6.8600001,.14,40,3,6,1,4903185,3814879,77.800003,AL,2021-07-28,2021,30,2021-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,312.571428571429,216,96.5714285714286,.081153259,917,0.941084053417125,FALSE,0.906126482213439,0.906126482213439,.9061264822134391,1198,1273,4.40529982042285,4.40529982042285,6.37486508405105,NA,TRUE,FALSE,TRUE,TRUE,TRUE,23.57,26.14,4.86,0.2,0.31,0.37,0.44,0.48,0.48,0.44,0.51,0.54,0.53,0.55,0.52,0.6,0.6,0.6,1931.4301,1775.14,1592.86,1495,1379,1238,1133.14,1047.14,887,815,699.63,696.14,643.71,583.38,528.86,391.7,391.7,413.38,413.38,396.14,275.43,275.43,194.86,194.86,194.86,194.86,194.86,227,227,205.43,205.43,182.43,182.43,182.43,153,153,162.86,162.86,190.57,190.57,190.57,211.14,211.14,231.86,221.29,248.29,248.29,248.29,301,321,356.43,291.9,283.142857142857,112.857142857143,77.8571428571429,Wednesday,18.09,2.08319402883752,0.0400576094189464,TRUE,TRUE,2021-07-28 Alabama,496.089367947088,635.642368106208,28jul2021,3,1,22797,.98000002,1,1.0500001,1,2.5900002,1,3.7099998,1,4.2000003,1,3.7800002,1,3.99,1,6.02,1,17.99,1,10.92,1,8.4000006,1,7.4900002,1,6.7199998,1,30.837099,275.72998,8.1153259,1,1,1,1,1,,1,2,1,1,1,,2,1,1,1,,,1,,,1,,0,0,,,0,,
510,2021-08-04,USA-01,Alabama,3399,2621.8601,53.470001,19,7.29,.15000001,40,3,6,1,4903185,3814879,77.800003,AL,2021-08-04,2021,31,2021-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,397.428571428571,283.142857142857,114.285714285714,.13215657,1536,0.943193449334698,FALSE,0.938957296305999,0.938957296305999,.938957296305999,1843,1954,5.77467211909926,5.77467211909926,8.10551858493146,NA,TRUE,FALSE,TRUE,TRUE,TRUE,29.38,29.38,6.86,0.51,0.54,0.53,0.55,0.52,0.6,0.6,0.6,0.6,0.6,0.55,0.61,0.64,0.57,0.57,2621.8601,2525.71,2434.29,2391.14,2353.71,2097.57,2097.57,1931.43,1775.14,1592.86,1495,1379,1238,1133.14,1047.14,887,815,699.63,696.14,643.71,583.38,528.86,391.7,391.7,413.38,413.38,396.14,275.43,275.43,194.86,194.86,194.86,194.86,194.86,227,227,205.43,205.43,182.43,182.43,182.43,153,153,162.86,162.86,190.57,190.57,190.57,211.14,211.14,231.86,221.29,336.428571428571,216,53.7142857142857,Wednesday,36.2,4.04693217630115,0.074311096180225,FALSE,FALSE,2021-08-04 Alabama,954.015012346055,1213.16805246433,04aug2021,3,1,22797,1.0500001,1,2.5900002,1,3.7099998,1,4.2000003,1,3.7800002,1,3.99,1,6.02,1,17.99,1,10.92,1,8.4000006,1,7.4900002,1,6.7199998,1,2.45,1,40.422707,374.29001,13.215656,1,1,1,0,,,,2,1,1,1,,2,2,,1,,,1,,,1,,0,0,,,,,
