"","Start date","State","Duration of 'high' episode (weeks)","Weekly cases per 100K","Weekly hospital admissions per 100K","Percentage of inpatient beds occupied by COVID-19 patients","Weekly deaths per 100K 21 days after start","Binding indicator","max","check_bound","check_bound2","type"
"1",2021-07-14,"Arkansas",12,237,24.6868252543903,8.2512045847129,4.34,"Cases",7.28,TRUE,TRUE,"Start"
"2",2021-07-14,"Nevada",11,154,20.972963707033,9.94165440543894,2.59,"Hosps",5.32,FALSE,FALSE,"Start"
"3",2021-07-21,"Florida",11,264,27.9312480639837,9.93791402401243,3.99,"Cases",12.25,TRUE,TRUE,"Start"
"4",2021-07-21,"Louisiana",10,302,22.500459258896,7.09832528837934,6.02,"Cases",9.31,TRUE,TRUE,"Start"
"5",2021-07-21,"Missouri",10,251,19.8617401295787,10.0031360802668,3.43,"Cases",4.27,TRUE,TRUE,"Start"
"6",2021-07-28,"Alabama",10,276,30.8370987429599,8.11532553417053,3.71,"Cases",17.99,TRUE,TRUE,"Start"
"7",2021-07-28,"Alaska",18,209,12.8495171178806,9.09586395220915,1.47,"Hosps",12.6,FALSE,TRUE,"Start"
"8",2021-07-28,"Kentucky",13,157,20.7490566117977,5.29040972331013,1.26,"Hosps",6.93,FALSE,FALSE,"Start"
"9",2021-07-28,"Mississippi",10,312,21.7731034299694,10.6789940154645,6.93,"Cases",10.5,TRUE,TRUE,"Start"
"10",2021-07-28,"Oklahoma",13,219,23.6039131952193,8.65600538307484,2.1,"Cases",12.81,TRUE,TRUE,"Start"
"11",2021-08-04,"Georgia",11,257,28.6886940456267,13.4080162613857,2.73,"Cases",7.91,TRUE,TRUE,"Start"
"12",2021-08-04,"Kansas",11,217,17.6774628481516,8.47605618826857,3.99,"Cases",5.39,TRUE,TRUE,"Start"
"13",2021-08-04,"South Carolina",11,295,18.3929423929937,8.81044983757522,4.2,"Hosps",9.45,FALSE,TRUE,"Start"
"14",2021-08-04,"Tennessee",11,256,18.582042279198,9.66798333891882,3.15,"Cases",6.65,TRUE,TRUE,"Start"
"15",2021-08-04,"Texas",10,271,28.3074689125673,13.9694224280225,3.99,"Cases",7.28,TRUE,TRUE,"Start"
"16",2021-08-04,"Wyoming",19,201,17.7966994897704,9.1493476924822,4.48,"Cases",11.9,TRUE,TRUE,"Start"
"17",2021-08-11,"Arizona",29,236,16.9947533335889,10.0540993613767,2.94,"Cases",8.96,TRUE,TRUE,"Start"
"18",2021-08-11,"California",5,214,15.0788782499026,12.3195426713109,1.54,"Cases",2.31,TRUE,TRUE,"Start"
"19",2021-08-11,"Hawaii",7,267,19.3520318220856,11.5845595336129,2.03,"Hosps",3.85,FALSE,TRUE,"Start"
"20",2021-08-11,"Idaho",14,216,14.7168681609231,11.5101276362549,3.08,"Hosps",12.04,FALSE,TRUE,"Start"
"21",2021-08-11,"Indiana",10,201,17.0523270262004,7.73540760747399,2.66,"Cases",4.62,TRUE,TRUE,"Start"
"22",2021-08-11,"Montana",18,168,21.23920963942,7.58396185175656,2.8,"Hosps",10.85,FALSE,FALSE,"Start"
