"","type","var","n","mean","median","q25","q75","epoch"
"1","Start","cases_weekly",9226,126.5,116,88.2,148,NA
"2","Start","admits_weekly",9226,9.2,8.3,4.4,12,NA
"3","Start","perc_covid_100",9226,2.9,2.6,1.4,4,NA
"4","Start","deaths_weekly",8018,2.3,0,0,2.6,NA
"5","End","cases_weekly",7855,131.6,116,83,152,NA
"6","End","admits_weekly",7855,8.9,8.2,4.3,11.8,NA
"7","End","perc_covid_100",7855,4.1,3.5,1.7,5.9,NA
"8","End","deaths_weekly",7516,3.3,1,0,4.3,NA
"9",NA,NA,3933,2.1,0,0,2.4,"Per 1"
"10",NA,NA,1947,3.3,1.3,0,4.4,"Per 2"
"11",NA,NA,2138,1.7,0,0,1.5,"Per 3"
