"","type","var","round_val","n","mean","median","q25","q75","epoch"
"1","Start","Weekly cases per 100K",0,119,125,112,104,138,NA
"2","Start","Weekly hospital admissions per 100K",1,119,7.3,6.9,5.1,9.9,NA
"3","Start","Percentage of inpatient beds occupied by COVID-19 patients",1,119,3.6,3.4,2.2,4.8,NA
"4","Start","Weekly deaths per 100K 21 days after start",1,99,1.2,1.1,0.7,1.6,NA
"5","End","Weekly cases per 100K",0,75,119,112,98,134,NA
"6","End","Weekly hospital admissions per 100K",1,75,8.9,9.2,7.1,10.7,NA
"7","End","Percentage of inpatient beds occupied by COVID-19 patients",1,75,6.3,6.6,4.6,8,NA
"8","End","Weekly deaths per 100K 21 days after start",1,74,1.8,1.5,1,2.6,NA
"9",NA,NA,NA,53,1.5,1.3,1,1.8,"Per 1"
"10",NA,NA,NA,18,1.3,1.3,1,1.5,"Per 2"
"11",NA,NA,NA,28,0.7,0.6,0.4,0.7,"Per 3"
