"","State","ep_on"
"1","Alabama",2
"2","Alaska",2
"3","Arizona",1
"4","Arkansas",2
"5","California",2
"6","Colorado",1
"7","Connecticut",2
"8","Delaware",2
"9","District of Columbia",3
"10","Florida",2
"11","Georgia",2
"12","Hawaii",2
"13","Idaho",2
"14","Illinois",2
"15","Indiana",2
"16","Iowa",1
"17","Kansas",3
"18","Kentucky",2
"19","Louisiana",2
"20","Maine",4
"21","Maryland",1
"22","Massachusetts",2
"23","Michigan",2
"24","Minnesota",1
"25","Mississippi",2
"26","Missouri",2
"27","Montana",2
"28","Nebraska",1
"29","Nevada",3
"30","New Hampshire",2
"31","New Jersey",1
"32","New Mexico",1
"33","New York",1
"34","North Carolina",2
"35","North Dakota",1
"36","Ohio",1
"37","Oklahoma",2
"38","Oregon",2
"39","Pennsylvania",2
"40","Rhode Island",2
"41","South Carolina",2
"42","South Dakota",1
"43","Tennessee",2
"44","Texas",2
"45","Utah",1
"46","Vermont",3
"47","Virginia",2
"48","Washington",2
"49","West Virginia",1
"50","Wisconsin",1
"51","Wyoming",2
